imputation,iteration,age,blood_pressure,specific_gravity,albumin,sugar,red_blood_cells,pus_cell,pus_cell_clumps,bacteria,blood_glucose_random,blood_urea,serum_creatinine,sodium,potassium,hemoglobin,packed_cell_volume,white_blood_cell_count,red_blood_cell_count,hypertension,diabetes_mellitus,coronary_artery_disease,appetite,pedal_edema,anemia
mean,0,0.0,0.0,0.1734394776013301,0.0,0.0,0.0,0.0,0.0,0.0,0.040606428138265614,0.02839987731069917,0.0012042504660810616,0.0,0.0,0.7070911470196524,0.01626609660163098,0.0,0.0,0.032992722862340784,0.0,0.0,0.0,0.0,0.0
mean,1,0.017974789915966388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021882352941176467,0.030297065233494857,0.0013030685161832833,0.014588235294117643,0.0,0.6692698771816419,0.03797452688380593,0.0,0.0,0.05096960976171291,0.15574047427190055,0.0,0.0,0.0,0.0
mean,2,0.0,0.0,0.10699527697974896,0.0,0.0,0.0,0.0,0.0,0.0,0.013626373626373624,0.01666066174262894,0.0,0.03633699633699634,0.01703296703296703,0.036419346484438134,0.7269725479124456,0.0,0.0,0.0,0.016372255563984903,0.0,0.029583574320416427,0.0,0.0
mean,3,0.0,0.0,0.03394255931384638,0.0,0.0,0.0,0.0,0.0,0.0,0.16883388496567053,0.015448353841595359,0.0,0.017464990094319878,0.0,0.7034286903136127,0.004200214358689753,0.0,0.038992931131810175,0.01768837598045521,0.0,0.0,0.0,0.0,0.0
mean,4,0.008762562814070353,0.006258973438621683,0.17603996248124415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02523321321976476,0.03341460062249954,0.05115920511649156,0.6650415119073629,0.0,0.0,0.0,0.034089970399944956,0.0,0.0,0.0,0.0,0.0
median,0,0.008459672528805336,0.0,0.1734394776013301,0.032992722862340784,0.0,0.0,0.0,0.0,0.0,0.020303214069132807,0.028399877310699168,0.0012042504660810616,0.0,0.026819519100608865,0.6846507525221897,0.016266096601630975,0.0,0.007464416937181182,0.0,0.0,0.0,0.0,0.0,0.0
median,1,0.0,0.0,0.0,0.017974789915966388,0.0,0.0,0.0,0.0,0.0,0.021882352941176467,0.0448853005276125,0.0013030685161832833,0.0,0.0,0.6692698771816419,0.03797452688380593,0.0,0.0,0.05096960976171291,0.15574047427190055,0.0,0.0,0.0,0.0
median,2,0.0,0.0,0.12223200140820274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016298440994573542,0.0,0.028388278388278388,0.0,0.7269725479124456,0.038200981151907454,0.011355311355311355,0.03974358974358974,0.0,0.016808849045691153,0.0,0.0,0.0,0.0
median,3,0.0,0.0,0.14918938884678784,0.014350006429214347,0.0,0.0,0.0,0.0,0.0,0.014350006429214347,0.003490015150583406,0.0,0.058920564223161324,0.0,0.7034286903136128,0.01615855304970171,0.0,0.022435231405793638,0.0,0.01767754415193072,0.0,0.0,0.0,0.0
median,4,0.0,0.0,0.17603996248124418,0.0,0.0,0.0,0.0,0.0,0.0,0.008762562814070354,0.006258973438621685,0.06242958948612332,0.016863093084811095,0.0,0.665041511907363,0.030514336387821472,0.0,0.0,0.03408997039994496,0.0,0.0,0.0,0.0,0.0
