,Importance
age,0.0043038595
blood_pressure,0.0047760513
specific_gravity,0.22140607
albumin,0.1163011
sugar,0.0
red_blood_cells,0.001971504
pus_cell,0.0
pus_cell_clumps,0.0
bacteria,0.0
blood_glucose_random,0.017686244
blood_urea,0.010821061
serum_creatinine,0.060087074
sodium,0.013994372
potassium,0.0066352943
hemoglobin,0.28085774
packed_cell_volume,0.08492236
white_blood_cell_count,0.0031750232
red_blood_cell_count,0.022167824
hypertension,0.05371394
diabetes_mellitus,0.097180486
coronary_artery_disease,0.0
appetite,0.0
pedal_edema,0.0
anemia,0.0
