imputation,iteration,age,blood_pressure,specific_gravity,albumin,sugar,red_blood_cells,pus_cell,pus_cell_clumps,bacteria,blood_glucose_random,blood_urea,serum_creatinine,sodium,potassium,hemoglobin,packed_cell_volume,white_blood_cell_count,red_blood_cell_count,hypertension,coronary_artery_disease,appetite,pedal_edema,anemia
mean,0,0.000512548431288451,0.0015588959213346243,0.2941156029701233,0.04983842745423317,0.0,0.0,0.0,0.0,0.0,0.010532926768064499,0.0017534802900627255,0.022581851109862328,0.012898281216621399,0.0014510267646983266,0.5472923517227173,0.039072711020708084,0.01839199662208557,0.0,0.0,0.0,0.0,0.0,0.0
mean,1,0.003253578906878829,0.0,0.3817650079727173,0.05998745933175087,0.0,0.0,0.0,0.0,0.0,0.013865784741938114,0.015241911634802818,0.03179507330060005,0.005811380222439766,0.0005885931313969195,0.3717077970504761,0.09163324534893036,0.0,0.024350149556994438,0.0,0.0,0.0,0.0,0.0
mean,2,0.0006569785764440894,0.00016921921633183956,0.4303175210952759,0.1528715193271637,0.0,0.0,0.0,0.0,0.0,0.004554624203592539,0.014802110381424427,0.01759912073612213,0.0006864229217171669,0.00016060391499195248,0.2863527238368988,0.09182921051979065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,3,0.0,0.0,0.39030972123146057,0.0742536410689354,0.0,0.0,0.0,0.0,0.0,0.017210112884640694,0.023130245506763458,0.02514379285275936,0.012080826796591282,0.0007635204819962382,0.3771759271621704,0.07523097842931747,0.0047011831775307655,0.0,0.0,0.0,0.0,0.0,0.0
mean,4,2.5763363737496547e-05,0.0005765537498518825,0.44886818528175354,0.07555994391441345,0.0,0.0,0.0,0.0,0.0,0.009636742062866688,0.004245563875883818,0.06432384997606277,0.0,0.0067226397804915905,0.3215394914150238,0.04069998487830162,0.027122847735881805,0.0006784878205507994,0.0,0.0,0.0,0.0,0.0
median,0,0.010755730792880058,0.030861392617225647,0.317673921585083,0.15226563811302185,0.0,0.0,0.0,0.0,0.0,0.0022356961853802204,0.007800659164786339,0.05396003648638725,0.002359608421102166,0.006443298887461424,0.28016197681427,0.10885477811098099,0.004913864191621542,0.02171345241367817,0.0,0.0,0.0,0.0,0.0
median,1,0.006861383095383644,0.0,0.3108726441860199,0.18986938893795013,0.0,0.0,0.0,0.0,0.0,0.0025623238179832697,0.003799550235271454,0.0746566578745842,0.001282644341699779,0.013008479960262775,0.21198596060276031,0.15122626721858978,0.0032891398295760155,0.030585436150431633,0.0,0.0,0.0,0.0,0.0
median,2,0.007818013429641724,0.0,0.49756914377212524,0.08896443247795105,0.0,0.0,0.0,0.0,0.0,0.0013057899195700884,0.012653523124754429,0.10654980689287186,0.0013015111908316612,0.005820418242365122,0.16304627060890198,0.07173965871334076,0.0033736908808350563,0.014352738857269287,0.0,0.0,0.0,0.02550506591796875,0.0
median,3,0.00012874612002633512,0.0006159438053146005,0.34814414381980896,0.18666541576385498,0.0,0.0,0.0,0.0,0.0,0.004897275008261204,0.003531035967171192,0.046481791883707047,0.005892257206141949,0.002178624039515853,0.17690297961235046,0.14666953682899475,0.0,0.07789230346679688,0.0,0.0,0.0,0.0,0.0
median,4,0.001587177044712007,0.0,0.40301230549812317,0.09826333075761795,0.0,0.0,0.0,0.0,0.0,0.002635735319927335,0.009962947107851505,0.054669901728630066,0.003508263034746051,0.008375878445804119,0.28531575202941895,0.11710403859615326,0.0,0.015564682893455029,0.0,0.0,0.0,0.0,0.0
