,Importance
age,0.03946413
blood_pressure,0.039470006
specific_gravity,0.04768253
albumin,0.042912874
sugar,0.04199279
red_blood_cells,0.04272301
pus_cell,0.040511183
pus_cell_clumps,0.0412723
bacteria,0.04174279
blood_glucose_random,0.042087834
blood_urea,0.040315222
serum_creatinine,0.041692946
sodium,0.038619924
potassium,0.0388637
hemoglobin,0.04404242
packed_cell_volume,0.043937862
white_blood_cell_count,0.03853012
red_blood_cell_count,0.04003397
hypertension,0.041842766
diabetes_mellitus,0.043462656
coronary_artery_disease,0.041281883
appetite,0.043578684
pedal_edema,0.042924058
anemia,0.04101436
