,Importance
age,0.042717304
blood_pressure,0.042557117
specific_gravity,0.049300253
albumin,0.04441471
sugar,0.04331527
red_blood_cells,0.0433607
pus_cell,0.043006036
pus_cell_clumps,0.043767527
bacteria,0.04356646
blood_glucose_random,0.04210361
blood_urea,0.04190375
serum_creatinine,0.043682676
sodium,0.039320447
potassium,0.041991163
hemoglobin,0.045774452
packed_cell_volume,0.04474959
white_blood_cell_count,0.0404607
red_blood_cell_count,0.04265
hypertension,0.04454669
coronary_artery_disease,0.042705975
appetite,0.04572161
pedal_edema,0.044324543
anemia,0.044059396
