,Importance
age,0.015452329514859333
blood_pressure,0.010325690856290154
specific_gravity,0.13576539055088815
albumin,0.08027857801598133
sugar,0.007838339253803499
red_blood_cells,0.013209623473361683
pus_cell,0.005792843435498072
pus_cell_clumps,0.000490676540101527
bacteria,0.0004334084972853166
blood_glucose_random,0.03508429289105674
blood_urea,0.02505424461089039
serum_creatinine,0.10567480760331367
sodium,0.027485179196543624
potassium,0.008980823293401259
hemoglobin,0.18818635147731302
packed_cell_volume,0.1509160946636136
white_blood_cell_count,0.012217890474756079
red_blood_cell_count,0.08204589584077834
hypertension,0.039244887992487446
diabetes_mellitus,0.03631413997002104
coronary_artery_disease,0.00010928329879921198
appetite,0.008540906030629177
pedal_edema,0.008660176830816563
anemia,0.0018981456875108048
