imputation,iteration,age,blood_pressure,specific_gravity,albumin,sugar,red_blood_cells,pus_cell,pus_cell_clumps,bacteria,blood_glucose_random,blood_urea,serum_creatinine,sodium,potassium,hemoglobin,packed_cell_volume,white_blood_cell_count,red_blood_cell_count,hypertension,diabetes_mellitus,coronary_artery_disease,appetite,pedal_edema,anemia
mean,0,0.012137520656092764,0.011174664620529094,0.11580413360587624,0.0728628973588857,0.008429076994291936,0.004815157259638982,0.005844423403499076,0.00022368622548692786,0.000368461980711829,0.04032148269853301,0.03076205225062774,0.07760646432116365,0.033459233754129715,0.00885091539071077,0.23265814164381923,0.12733823017045778,0.011207583907673664,0.12379367224339809,0.026445964951255518,0.04312487639683908,0.0,0.010278110119221258,0.002318910391881679,0.00017433965527630742
mean,1,0.016331445091809903,0.011866084305662813,0.09736561910484882,0.07516780833305577,0.008933254176008322,0.0019230336646797097,0.004658115117621787,0.00030995456454105717,0.0,0.04273276346096314,0.035622669114626304,0.07013816517610925,0.022328444424475992,0.005333847307514658,0.19688619421762435,0.13111805878112442,0.009744895107059075,0.14786020083541065,0.05333383364833316,0.04519094547814752,0.0,0.009635310445942066,0.012050960126028996,0.0014683975184122075
mean,2,0.021718024202533194,0.010920448674432209,0.10303658202314217,0.07588067361182889,0.005189789196678375,0.002558216884522195,0.004927967095975046,0.0020376936921400247,0.00124287966822361,0.043937311525860515,0.03303225475836127,0.08726071328697436,0.030105045804963294,0.0067748010017851,0.2083265894283954,0.19635707026236418,0.008098622976767006,0.087559489045425,0.029371303517057037,0.027498621416892865,0.00012017405063291135,0.0032464920482151243,0.006966827394589703,0.0038324084322404945
mean,3,0.020978792763441903,0.009026042314939189,0.12900594118043224,0.05247873982034952,0.007479359238117686,0.005926331179570092,0.003466615857275766,0.0003112390193543498,0.0001703296703296703,0.0633210167546278,0.015676129281137405,0.09946126958534388,0.02232562585736371,0.01989747217324457,0.2218447078338453,0.16505359800962058,0.01025307275624167,0.07403037044861402,0.03688853936014994,0.03360779066606145,0.0,0.0050954573486706265,0.00344485333382009,0.0002567055474485748
mean,4,0.022238018068251576,0.01088865520974729,0.14872309605905112,0.05757178018062853,0.003993292326169312,0.0035496970442618347,0.005056223654376281,0.00020333079475723416,0.00031608627123120355,0.03770462066167459,0.02882132342741059,0.11340341750141586,0.0466034288550504,0.012673228162028299,0.19580258769648806,0.12527647606943446,0.010595997125531458,0.09298310919877771,0.03645619212660298,0.029461844206052388,0.0,0.009910963815511127,0.005981928055531376,0.0017847034900163158
median,0,0.021386216810029026,0.010825114078472304,0.190974812540083,0.0639910793773911,0.008179411415016833,0.007401659563334631,0.008951661178533937,0.00012871756949648302,0.00014717494627937072,0.029416080007317543,0.021208241161075295,0.08563929746374022,0.023955982356358187,0.010254549433761258,0.21731416874266554,0.11422891061688219,0.014289380268002319,0.0663371927541491,0.04190311233565468,0.05134759563302099,0.00016542862021857923,0.006876878947590373,0.004087592999000706,0.0009897411819263257
median,1,0.012638659716861771,0.01250235746441114,0.1327005011888726,0.11240287797828126,0.006344208891447783,0.004957156092571987,0.006566669378319955,0.00028295269831491213,0.00027532615395151164,0.025325226825420363,0.03067702263270312,0.09273134698162391,0.02152682245086359,0.013755460657290379,0.18722026668174777,0.16847347055089656,0.0118195615594301,0.0600212737695172,0.028264554198134294,0.05264751220939692,0.0,0.008950873645540985,0.0064232592507972395,0.003492639023604586
median,2,0.015109436236984844,0.009995674757954254,0.12509070846672907,0.0810602486332954,0.003129115220197853,0.0018544130848703628,0.001748176570491462,0.001612816282101171,0.0008644541668069297,0.02159130166046197,0.024954214257395885,0.09091473640125759,0.022424050499004266,0.009463930361174393,0.2205562843344905,0.20905127845286364,0.006570999200139161,0.09533721053673813,0.018205128493635824,0.0332410891035859,7.77415774880276e-05,0.0041088907071274525,0.0016044685359007875,0.0014336324593051506
median,3,0.016555238563485456,0.0067053229329568885,0.12179034890457682,0.08419513242368028,0.011067396881363004,0.00611924891172446,0.00205779992394184,0.00015774695920520737,0.0012864178680863825,0.02745376626364799,0.0275881268725519,0.07371322366461228,0.03595805651608523,0.009477512150907235,0.16850085925019223,0.1884716534928947,0.013213072841956917,0.11909972858569466,0.02261682229983123,0.052979963349385546,0.0,0.007777303735407082,0.0027030744602123914,0.0005121831476002857
median,4,0.014305431903423,0.01475050595192162,0.11898436027854709,0.06458083899098885,0.010759312787923992,0.006299682134040051,0.009579801587947308,0.0003302349261245797,0.0,0.030967447175481312,0.01969068468977395,0.0878390948764051,0.02687176459658214,0.01090723928269276,0.18132239053455346,0.18204427298207684,0.009523836178959065,0.09312594764311637,0.03575652741715441,0.062022429412950296,0.0001403985507246377,0.010686217907350725,0.005217254974379579,0.004294325216882976
mode,0,0.013113466380044706,0.008601726799159555,0.13001709645501394,0.09395159761861642,0.00714833975623716,0.004238985801601872,0.007582077489532122,0.0,0.0,0.035753807283735464,0.021787071275596325,0.13398175892857564,0.03839771946159753,0.00908200462942723,0.11555580852490285,0.152459991325732,0.03401940602110896,0.04369091086207504,0.06708848673649134,0.0590500305053245,0.00014934702978181236,0.007775598472205193,0.013243435423227378,0.0033113332200128643
