,Importance
age,0.0017598843418936217
blood_pressure,0.009550663963215637
specific_gravity,0.0022390470439570495
albumin,0.15910244160754336
sugar,0.06454520129401022
red_blood_cells,0.04943996073537124
pus_cell,0.021948193515942724
pus_cell_clumps,0.002107503945207773
bacteria,0.006610629904149891
blood_glucose_random,0.004873756924486786
blood_urea,0.0020612081269666075
serum_creatinine,0.10385629338479821
sodium,0.026506888677508184
potassium,0.052592964412627986
hemoglobin,0.1335949294220489
packed_cell_volume,0.043326685555586164
white_blood_cell_count,2.1393228068119362e-05
red_blood_cell_count,0.05372420687572577
hypertension,0.07098837902752914
diabetes_mellitus,0.084713811938767
coronary_artery_disease,0.0010875178831307355
appetite,0.03874751890755908
pedal_edema,0.05223747930672361
anemia,0.014363439977182129
